раздел,счетоводен_ред,Q1 2024 (3М),Q2 2024 (6М),Q3 2024 (9М),Q4 2024 (12М)
Приходи и разходи,Приходи от продажби,63883,129881,199579,268908
Приходи и разходи,Себестойност на продажбите,-38430,-77036,-117377,-155506
Приходи и разходи,Брутна печалба,25453,52845,82202,113402
Приходи и разходи,Други приходи от дейността,,,,
Приходи и разходи,Разходи за продажби,-5679,-11519,-17539,-23610
Приходи и разходи,Административни разходи,-8866,-18008,-27536,-37176
Приходи и разходи,Други разходи за дейността,,,,
Приходи и разходи,Печалба от оперативна дейност (EBIT),10908,23318,37127,42616
Приходи и разходи,Финансови приходи,192,385,579,773
Приходи и разходи,Финансови разходи,-603,-1206,-1814,-2431
Приходи и разходи,Дял от печалбата на асоциирани дружества,,,,
Приходи и разходи,Печалба преди данъци (EBT),10497,22497,35892,40958
Приходи и разходи,Разход за данъци,-2427,-5197,-8298,-9862
Приходи и разходи,Нетна печалба от продължаващи дейности,,,,
Приходи и разходи,Печалба от преустановени дейности,,,,
Приходи и разходи,Нетна печалба,8070,17300,27594,31096
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,,,,
Приходи и разходи,Общо всеобхватен доход,,,,
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",0.72,1.55,2.47,2.78
Активи,"Имоти, машини и съоръжения",,,,
Активи,Нематериални активи,,,,
Активи,Активи с право на ползване,,,,
Активи,Репутация,,,,
Активи,Инвестиции в асоциирани дружества,,,,
Активи,Активи по отсрочени данъци,,,,
Активи,Общо нетекущи активи,28561,28561,28561,30685
Активи,Материални запаси,20625,22095,23895,25595
Активи,Търговски вземания,37545,39665,41855,43377
Активи,Други вземания,1945,2095,2245,2395
Активи,Пари и парични еквиваленти,5215,13230,13230,20899
Активи,Общо текущи активи,65330,77085,81225,92266
Активи,ОБЩО АКТИВИ,93891,105646,109786,122951
Пасиви,Задължения по лизинг (дългосрочни),5247,5247,5247,6012
Пасиви,Дългосрочни задължения към персонала,,,,
Пасиви,Общо нетекущи пасиви,5247,5247,5247,6012
Пасиви,Банкови заеми,300,300,300,300
Пасиви,Задължения по лизинг (краткосрочни),,,,
Пасиви,Търговски задължения,13785,15195,16590,18115
Пасиви,Задължения към персонала и осигуряването,,,,
Пасиви,Други задължения,4691,5084,5477,6192
Пасиви,Общо текущи пасиви,18776,20579,22367,24607
Пасиви,ОБЩО ПАСИВИ,24023,25826,27614,30619
Собствен капитал,Регистриран акционерен капитал,5978,5978,5978,5978
Собствен капитал,Неразпределена печалба,63890,73842,76194,86354
Собствен капитал,Законови резерви,,,,
Собствен капитал,Премиен резерв,,,,
Собствен капитал,Валутно-курсови разлики,,,,
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,69868,79820,82172,92332
Парични потоци,Постъпления от клиенти,,,,
Парични потоци,Плащания към доставчици,,,,
Парични потоци,"Данъци възстановени/(платени), нето",,,,
Парични потоци,Плащания към персонал и осигуряване,,,,
Парични потоци,Нетни парични потоци от оперативна дейност,10908,23318,37127,49365
Парични потоци,Капиталови разходи (CAPEX),-2214,-4495,-6830,-9275
Парични потоци,Нетни парични потоци от инвестиционна дейност,-2214,-4495,-6830,-9275
Парични потоци,Изплатени дивиденти,-4356,-4356,-4356,-4356
Парични потоци,Нетни парични потоци от финансова дейност,-5107,-5865,-6632,-24406
Парични потоци,Пари в началото на периода,1628,272,-10435,5215
Парични потоци,Пари в края на периода,5215,13230,13230,20899
