раздел,счетоводен_ред,Q1 2022 (3М),Q2 2022 (6М),Q3 2022 (9М),Q4 2022 (12М)
Приходи и разходи,Приходи от продажби,99305,205698,303278,430823
Приходи и разходи,Себестойност на продажбите,-40755,-84754,-124853,-178058
Приходи и разходи,Брутна печалба,58550,120944,178425,252765
Приходи и разходи,Други приходи от дейността,14120,29935,48295,71739
Приходи и разходи,Разходи за продажби,-11784,-24757,-37371,-61885
Приходи и разходи,Административни разходи,-31854,-65160,-102317,-139049
Приходи и разходи,Други разходи за дейността,-9176,-20517,-31995,-44163
Приходи и разходи,Печалба от оперативна дейност (EBIT),19856,40446,55037,79407
Приходи и разходи,Финансови приходи,0,0,0,0
Приходи и разходи,Финансови разходи,-250,-499,-766,-1076
Приходи и разходи,Дял от печалбата на асоциирани дружества,0,0,0,0
Приходи и разходи,Печалба преди данъци (EBT),19607,39946,54271,78331
Приходи и разходи,Разход за данъци,-3739,-8269,-11115,-16340
Приходи и разходи,Нетна печалба от продължаващи дейности,15867,31678,43156,61991
Приходи и разходи,Печалба от преустановени дейности,0,0,0,0
Приходи и разходи,Нетна печалба,15867,31678,43156,61991
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,-36,7,-11,3
Приходи и разходи,Общо всеобхватен доход,15831,31685,43145,61994
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",1.48,2.96,4.03,5.79
Активи,"Имоти, машини и съоръжения",13281,21066,25521,29645
Активи,Нематериални активи,123518,129419,143362,161210
Активи,Активи с право на ползване,55911,54194,58264,58556
Активи,Репутация,0,0,0,0
Активи,Инвестиции в асоциирани дружества,0,0,0,0
Активи,Активи по отсрочени данъци,0,0,0,0
Активи,Общо нетекущи активи,192791,206412,228897,251350
Активи,Материални запаси,84676,98627,129572,152926
Активи,Търговски вземания,70190,73615,86556,65358
Активи,Други вземания,,,,
Активи,Пари и парични еквиваленти,97510,97788,68164,43012
Активи,Общо текущи активи,252376,270030,284291,261296
Активи,ОБЩО АКТИВИ,445168,476442,513189,512646
Пасиви,Задължения по лизинг (дългосрочни),34647,32819,35619,35431
Пасиви,Дългосрочни задължения към персонала,,,,
Пасиви,Общо нетекущи пасиви,34647,32819,35619,35431
Пасиви,Банкови заеми,,,,
Пасиви,Задължения по лизинг (краткосрочни),,,,
Пасиви,Търговски задължения,,,,
Пасиви,Задължения към персонала и осигуряването,,,,
Пасиви,Други задължения,,,,
Пасиви,Общо текущи пасиви,99131,116379,138866,119662
Пасиви,ОБЩО ПАСИВИ,133778,149198,174485,155093
Собствен капитал,Регистриран акционерен капитал,1677,1677,1677,1677
Собствен капитал,Неразпределена печалба,,,,
Собствен капитал,Законови резерви,,,,
Собствен капитал,Премиен резерв,,,,
Собствен капитал,Валутно-курсови разлики,,,,
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,311390,327244,338704,357553
Парични потоци,Постъпления от клиенти,,,,
Парични потоци,Плащания към доставчици,,,,
Парични потоци,"Данъци възстановени/(платени), нето",,,,
Парични потоци,Плащания към персонал и осигуряване,,,,
Парични потоци,Нетни парични потоци от оперативна дейност,10581,34742,33377,41792
Парични потоци,Капиталови разходи (CAPEX),-14475,-32968,-56779,-84879
Парични потоци,Нетни парични потоци от инвестиционна дейност,-14479,-33893,-57618,-86258
Парични потоци,Изплатени дивиденти,0,0,0,0
Парични потоци,Нетни парични потоци от финансова дейност,-4196,-8763,-13452,-18706
Парични потоци,Пари в началото на периода,105478,105478,105478,105478
Парични потоци,Пари в края на периода,97510,97788,68164,43012
