раздел,счетоводен_ред,Q1 2025 (3М),Q2 2025 (6М),Q3 2025 (9М),Q4 2025 (12М)
Приходи и разходи,Приходи от продажби,220383,431086,646435,934767
Приходи и разходи,Себестойност на продажбите,-106592,-207724,-309898,-441183
Приходи и разходи,Брутна печалба,113791,223362,336537,493584
Приходи и разходи,Други приходи от дейността,35979,73916,107536,148266
Приходи и разходи,Разходи за продажби,-23724,-52548,-76936,-113465
Приходи и разходи,Административни разходи,-46745,-95345,-148274,-199965
Приходи и разходи,Други разходи за дейността,-22200,-44900,-69305,-98694
Приходи и разходи,Печалба от оперативна дейност (EBIT),57100,104484,149558,229727
Приходи и разходи,Финансови приходи,12,0,0,59
Приходи и разходи,Финансови разходи,-354,-754,-1202,-1874
Приходи и разходи,Дял от печалбата на асоциирани дружества,0,0,0,0
Приходи и разходи,Печалба преди данъци (EBT),56758,103730,148357,227912
Приходи и разходи,Разход за данъци,-11767,-21622,-31005,-47669
Приходи и разходи,Нетна печалба от продължаващи дейности,44991,82108,117352,180243
Приходи и разходи,Печалба от преустановени дейности,0,0,0,0
Приходи и разходи,Нетна печалба,44991,82108,117352,180243
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,-619,-772,-765,-1808
Приходи и разходи,Общо всеобхватен доход,44372,81336,116587,178435
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",4.02,7.35,10.5,16.12
Активи,"Имоти, машини и съоръжения",34950,37876,40696,42998
Активи,Нематериални активи,284593,297143,307872,323642
Активи,Активи с право на ползване,48138,54865,49291,97289
Активи,Репутация,0,0,0,0
Активи,Инвестиции в асоциирани дружества,0,0,0,0
Активи,Активи по отсрочени данъци,0,0,0,0
Активи,Общо нетекущи активи,369910,392638,400608,467295
Активи,Материални запаси,167331,186476,215642,237184
Активи,Търговски вземания,203014,191892,205699,257995
Активи,Други вземания,,,,
Активи,Пари и парични еквиваленти,62290,78464,95315,92303
Активи,Общо текущи активи,432635,456832,516656,587483
Активи,ОБЩО АКТИВИ,802544,849470,917264,1054778
Пасиви,Задължения по лизинг (дългосрочни),21764,29118,26497,60525
Пасиви,Дългосрочни задължения към персонала,,,,
Пасиви,Общо нетекущи пасиви,21764,29118,26497,60525
Пасиви,Банкови заеми,,,,
Пасиви,Задължения по лизинг (краткосрочни),,,,
Пасиви,Търговски задължения,,,,
Пасиви,Задължения към персонала и осигуряването,,,,
Пасиви,Други задължения,,,,
Пасиви,Общо текущи пасиви,187150,189761,224925,266562
Пасиви,ОБЩО ПАСИВИ,208914,218879,251422,327087
Собствен капитал,Регистриран акционерен капитал,1677,1677,1677,1677
Собствен капитал,Неразпределена печалба,291953,333390,368635,431527
Собствен капитал,Законови резерви,,,,
Собствен капитал,Премиен резерв,,,,
Собствен капитал,Валутно-курсови разлики,,,,
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,593630,630591,665842,727691
Парични потоци,Постъпления от клиенти,,,,
Парични потоци,Плащания към доставчици,,,,
Парични потоци,"Данъци възстановени/(платени), нето",,,,
Парични потоци,Плащания към персонал и осигуряване,,,,
Парични потоци,Нетни парични потоци от оперативна дейност,53084,106034,159646,200345
Парични потоци,Капиталови разходи (CAPEX),-27588,-57117,-86191,-120175
Парични потоци,Нетни парични потоци от инвестиционна дейност,-27418,-56948,-86024,-120529
Парични потоци,Изплатени дивиденти,0,0,0,0
Парични потоци,Нетни парични потоци от финансова дейност,-6662,-13352,-20626,-28503
Парични потоци,Пари в началото на периода,43825,43825,43825,43825
Парични потоци,Пари в края на периода,62290,78464,95315,92303
